ORIGIN,DESTINATION,TOTAL SEATS
Mongolia,Kyrgyzstan,480
Mongolia,China,3084
Mongolia,Russian Federation,1813
Mongolia,Japan,596
Mongolia,South Korea,3590
Mongolia,Hong Kong,745
France,Canada,17517
France,Turkmenistan,144
France,Lithuania,2389
France,Ethiopia,2520
France,Argentina,2400
France,Cameroon,3122
France,Burkina Faso,1040
France,Bahrain,984
France,Saudi Arabia,954
France,Cape Verde,779
France,Slovenia,1228
France,Bosnia and Herzegovina,856
France,Russian Federation,15411
France,Germany,72474
France,Spain,120151
France,Netherlands,41374
France,Oman,2144
France,Costa Rica,1083
France,Gabon,2705
France,Pakistan,714
France,United Arab Emirates,27864
France,India,13633
France,Azerbaijan,122
France,Kenya,2484
France,South Korea,7415
France,Turkey,17779
France,Czech Republic,10616
France,Slovakia,378
France,Peru,1444
France,Norway,6321
France,Benin,1040
France,Singapore,5913
France,Montenegro,1508
France,Togo,416
France,China,24063
France,Armenia,782
France,Dominican Republic,2909
France,Ukraine,3920
France,Ghana,624
France,Finland,6491
France,Central African Republic,600
France,United States,85173
France,Sweden,10291
France,Vietnam,4743
France,Mali,2256
France,Bulgaria,2546
France,Mauritius,5795
France,Romania,14892
France,Angola,1291
France,Portugal,50765
France,South Africa,5503
France,Austria,15218
France,Hungary,8180
France,Sint Maarten,2200
France,Brazil,11303
France,Kuwait,848
France,Panama,2400
France,Madagascar,2300
France,Ireland,17565
France,Nigeria,2912
France,Iran,1600
France,Algeria,44691
France,Chile,2888
France,Thailand,6944
France,Hong Kong,6600
France,Sierra Leone,624
France,Georgia,836
France,Denmark,13704
France,Poland,16454
France,Moldova,1274
France,Morocco,39518
France,Croatia,3902
France,Seychelles,1587
France,Chad,624
France,Estonia,572
France,Lebanon,6792
France,Uzbekistan,374
France,Egypt,5163
France,Djibouti,208
France,Colombia,2256
France,Reunion,5546
France,Taiwan,3700
France,Cyprus,290
France,Qatar,9720
France,Italy,83049
France,Malta,3619
France,Democratic Republic of the Congo,624
France,Maldives,900
France,Ivory Coast (Cote d'Ivoire),3663
France,Venezuela,1248
France,Israel,13141
France,Iceland,5608
France,Jordan,2332
France,Martinique,2313
France,Kazakhstan,664
France,Mauritania,1040
France,Mayotte,1048
France,Macedonia,2996
France,Latvia,2030
France,Japan,13598
France,Guadeloupe,3480
France,Niger,1248
France,Mexico,8451
France,Tunisia,10928
France,Cuba,4688
France,Serbia,4538
France,United Kingdom,138713
France,Congo,2496
France,Greece,17076
Ethiopia,Brazil,2568
Ethiopia,Turkey,1264
Ethiopia,Qatar,1207
Ethiopia,Italy,3510
Ethiopia,Sudan,3368
Ethiopia,Lebanon,3352
Ethiopia,Mali,2052
Ethiopia,Madagascar,1044
Ethiopia,France,2520
Ethiopia,Democratic Republic of the Congo,4603
Ethiopia,Rwanda,2424
Ethiopia,Ireland,1350
Ethiopia,Nigeria,8117
Ethiopia,Ivory Coast (Cote d'Ivoire),1350
Ethiopia,Cameroon,945
Ethiopia,Malawi,1480
Ethiopia,Benin,590
Ethiopia,Ghana,2744
Ethiopia,Saudi Arabia,6024
Ethiopia,Singapore,1350
Ethiopia,Zambia,3183
Ethiopia,Togo,1350
Ethiopia,Zimbabwe,2750
Ethiopia,China,11530
Ethiopia,Kuwait,1480
Ethiopia,Germany,2568
Ethiopia,Hong Kong,1350
Ethiopia,Spain,1080
Ethiopia,Bahrain,1232
Ethiopia,Oman,1480
Ethiopia,Tanzania,6535
Ethiopia,Israel,2960
Ethiopia,Sweden,1350
Ethiopia,Gabon,1890
Ethiopia,South Sudan,1606
Ethiopia,Thailand,2160
Ethiopia,Namibia,1350
Ethiopia,South Korea,1080
Ethiopia,Seychelles,1593
Ethiopia,Angola,1674
Ethiopia,Chad,1279
Ethiopia,South Africa,8776
Ethiopia,Egypt,2590
Ethiopia,United Arab Emirates,10516
Ethiopia,Equatorial Guinea,1575
Ethiopia,India,9232
Ethiopia,United Kingdom,2744
Ethiopia,Austria,2160
Ethiopia,Congo,3015
Ethiopia,Mozambique,1480
Ethiopia,Uganda,5719
Ethiopia,Burundi,740
Ethiopia,Kenya,9788
Ethiopia,Niger,1170
Ethiopia,Comoros,1833
Suriname,Brazil,177
Suriname,Netherlands,3110
Suriname,Curacao,544
Suriname,Trinidad and Tobago,1522
Suriname,French Guiana,592
Suriname,Guyana,444
Suriname,Aruba,592
Laos,Singapore,450
Laos,Cambodia,3248
Laos,Malaysia,1440
Laos,Vietnam,210
Laos,China,8517
Laos,Thailand,13002
Laos,South Korea,4032
Nigeria,Turkey,3464
Nigeria,Qatar,2080
Nigeria,France,2912
Nigeria,Ethiopia,8117
Nigeria,Rwanda,1681
Nigeria,Ivory Coast (Cote d'Ivoire),972
Nigeria,Cameroon,938
Nigeria,Ghana,5398
Nigeria,Gabon,134
Nigeria,Togo,1474
Nigeria,Germany,3066
Nigeria,Sierra Leone,292
Nigeria,Netherlands,2208
Nigeria,United States,2106
Nigeria,Morocco,888
Nigeria,Namibia,448
Nigeria,Chad,268
Nigeria,South Africa,1992
Nigeria,Egypt,3885
Nigeria,United Arab Emirates,9492
Nigeria,Equatorial Guinea,50
Nigeria,Lebanon,488
Nigeria,United Kingdom,7650
Nigeria,Kenya,960
Ivory Coast (Cote d'Ivoire),Turkey,160
Ivory Coast (Cote d'Ivoire),Guinea,2074
Ivory Coast (Cote d'Ivoire),France,3188
Ivory Coast (Cote d'Ivoire),Ethiopia,1080
Ivory Coast (Cote d'Ivoire),Nigeria,1086
Ivory Coast (Cote d'Ivoire),Cameroon,1660
Ivory Coast (Cote d'Ivoire),Burkina Faso,1252
Ivory Coast (Cote d'Ivoire),Benin,1976
Ivory Coast (Cote d'Ivoire),Ghana,4135
Ivory Coast (Cote d'Ivoire),Algeria,302
Ivory Coast (Cote d'Ivoire),Togo,1608
Ivory Coast (Cote d'Ivoire),Belgium,861
Ivory Coast (Cote d'Ivoire),Sierra Leone,342
Ivory Coast (Cote d'Ivoire),Liberia,429
Ivory Coast (Cote d'Ivoire),Morocco,999
Ivory Coast (Cote d'Ivoire),Gabon,1312
Ivory Coast (Cote d'Ivoire),Mali,2613
Ivory Coast (Cote d'Ivoire),Democratic Republic of the Congo,228
Ivory Coast (Cote d'Ivoire),Senegal,2256
Ivory Coast (Cote d'Ivoire),Congo,584
Ivory Coast (Cote d'Ivoire),Kenya,656
Ivory Coast (Cote d'Ivoire),Niger,536
Turkmenistan,Turkey,3736
Turkmenistan,Belarus,288
Turkmenistan,United Arab Emirates,2048
Turkmenistan,India,1891
Turkmenistan,Azerbaijan,896
Turkmenistan,France,144
Turkmenistan,United Kingdom,1701
Turkmenistan,China,873
Turkmenistan,Russian Federation,2061
Turkmenistan,Thailand,543
Turkmenistan,Germany,144
Turkmenistan,Kazakhstan,288
Saudi Arabia,Turkey,28392
Saudi Arabia,Afghanistan,458
Saudi Arabia,Italy,660
Saudi Arabia,Bangladesh,4853
Saudi Arabia,Sudan,8542
Saudi Arabia,Lebanon,8397
Saudi Arabia,Nepal,462
Saudi Arabia,France,954
Saudi Arabia,Ethiopia,6326
Saudi Arabia,Maldives,660
Saudi Arabia,Somalia,146
Saudi Arabia,Bahrain,16231
Saudi Arabia,Singapore,735
Saudi Arabia,Jordan,16146
Saudi Arabia,Germany,4923
Saudi Arabia,Eritrea,820
Saudi Arabia,Netherlands,1656
Saudi Arabia,Oman,16987
Saudi Arabia,Philippines,6579
Saudi Arabia,Indonesia,29691
Saudi Arabia,United States,2238
Saudi Arabia,Morocco,3813
Saudi Arabia,Pakistan,45001
Saudi Arabia,South Africa,522
Saudi Arabia,Egypt,95893
Saudi Arabia,United Arab Emirates,118856
Saudi Arabia,India,37479
Saudi Arabia,United Kingdom,8113
Saudi Arabia,Malaysia,4840
Saudi Arabia,Tunisia,1879
Saudi Arabia,Greece,1168
Saudi Arabia,Sri Lanka,8156
Saudi Arabia,Kenya,618
Australia,Canada,5543
Australia,East Timor,912
Australia,Qatar,16544
Australia,Solomon Islands,1184
Australia,Vanuatu,2968
Australia,Nauru,402
Australia,Cook Islands,312
Australia,Singapore,83220
Australia,Papua New Guinea,5852
Australia,Cocos (Keeling) Islands,146
Australia,China,60120
Australia,Chile,2686
Australia,Thailand,24432
