ORIGIN,DESTINATION,TOTAL SEATS
Kenya,Italy,2296
Kenya,Sudan,480
Kenya,Madagascar,1300
Kenya,France,2532
Kenya,Ethiopia,9692
Kenya,Rwanda,3368
Kenya,Somalia,1095
Kenya,Nigeria,1452
Kenya,Ivory Coast (Cote d'Ivoire),656
Kenya,Cameroon,608
Kenya,Malawi,997
Kenya,Ghana,1312
Kenya,Saudi Arabia,687
Kenya,Zambia,1924
Kenya,Congo,536
Kenya,Zimbabwe,1556
Kenya,Germany,2235
Kenya,Oman,475
Kenya,Thailand,1872
Kenya,Netherlands,5032
Kenya,Mayotte,356
Kenya,Democratic Republic of the Congo,1314
Kenya,Tanzania,6528
Kenya,Central African Republic,588
Kenya,Mauritius,372
Kenya,South Sudan,1536
Kenya,Mali,464
Kenya,Yemen,100
Kenya,Seychelles,356
Kenya,Angola,288
Kenya,Chad,333
Kenya,South Africa,6406
Kenya,Egypt,740
Kenya,United Arab Emirates,12218
Kenya,India,2974
Kenya,United Kingdom,4320
Kenya,Djibouti,576
Kenya,China,476
Kenya,Mozambique,894
Kenya,Uganda,5954
Kenya,Burundi,1440
Kenya,Comoros,480
Senegal,Mauritania,846
Senegal,Portugal,3040
Senegal,Guinea,794
Senegal,Guinea Bissau,150
Senegal,Cape Verde,269
Senegal,Mali,252
Senegal,Ivory Coast (Cote d'Ivoire),2256
Belarus,Ukraine,3496
Belarus,Turkey,948
Belarus,Turkmenistan,288
Belarus,United Arab Emirates,408
Belarus,Poland,784
Belarus,Azerbaijan,151
Belarus,Uzbekistan,300
Belarus,Austria,1232
Belarus,Latvia,380
Belarus,Germany,1000
Belarus,Russian Federation,18024
Belarus,Iraq,148
Belarus,Spain,172
New Zealand,Canada,1560
New Zealand,Qatar,2072
New Zealand,French Polynesia,1463
New Zealand,Vanuatu,756
New Zealand,Argentina,1445
New Zealand,Cook Islands,3710
New Zealand,Australia,103784
New Zealand,Singapore,10200
New Zealand,China,19337
New Zealand,Chile,2376
New Zealand,Thailand,2320
New Zealand,Hong Kong,6928
New Zealand,Tonga,1966
New Zealand,Western Samoa,3205
New Zealand,Philippines,762
New Zealand,New Caledonia,966
New Zealand,United States,16746
New Zealand,Niue,510
New Zealand,United Arab Emirates,4136
New Zealand,Malaysia,2288
New Zealand,Japan,4716
New Zealand,South Korea,2248
New Zealand,Fiji,5447
Yemen,Kenya,100
Greenland,Denmark,1112
Greenland,Iceland,0
Chad,Turkey,480
Chad,Morocco,333
Chad,Egypt,290
Chad,France,624
Chad,Ethiopia,1279
Chad,Kenya,444
Chad,Nigeria,268
Chad,Cameroon,1303
South Africa,Turkey,4768
South Africa,Brazil,3372
South Africa,Qatar,7808
South Africa,Italy,1032
South Africa,Madagascar,845
South Africa,France,5778
South Africa,Ethiopia,8776
South Africa,Nigeria,1992
South Africa,Malawi,2580
South Africa,Ghana,2160
South Africa,Israel,1302
South Africa,Australia,4178
South Africa,Singapore,2024
South Africa,Germany,11613
South Africa,China,1136
South Africa,Hong Kong,4616
South Africa,Spain,864
South Africa,Netherlands,5952
South Africa,Tanzania,2705
South Africa,Saudi Arabia,522
South Africa,Mauritius,5951
South Africa,Namibia,10232
South Africa,Switzerland,1752
South Africa,United States,4864
South Africa,Seychelles,816
South Africa,Angola,4347
South Africa,Democratic Republic of the Congo,740
South Africa,Egypt,1505
South Africa,United Arab Emirates,26560
South Africa,United Kingdom,18856
South Africa,Austria,930
South Africa,Mozambique,6887
South Africa,Uganda,1008
South Africa,Reunion,324
South Africa,Kenya,6356
Egypt,Turkey,10566
Egypt,Canada,1092
Egypt,Qatar,330
Egypt,Italy,9447
Egypt,Czech Republic,495
Egypt,Kenya,740
Egypt,Sudan,5967
Egypt,Kuwait,26042
Egypt,France,5163
Egypt,Ethiopia,2405
Egypt,Georgia,660
Egypt,Slovakia,165
Egypt,India,925
Egypt,Ghana,1110
Egypt,Nigeria,3885
Egypt,Norway,495
Egypt,Bahrain,3540
Egypt,Saudi Arabia,96263
Egypt,Algeria,2284
Egypt,Japan,364
Egypt,China,3767
Egypt,Armenia,165
Egypt,Denmark,1922
Egypt,Belgium,2532
Egypt,Jordan,11835
Egypt,Germany,24429
Egypt,Tanzania,370
Egypt,Spain,2590
Egypt,Eritrea,1480
Egypt,Netherlands,1480
Egypt,Libya,3016
Egypt,Oman,2080
Egypt,Poland,1650
Egypt,Israel,584
Egypt,Moldova,720
Egypt,United States,2912
Egypt,Morocco,3182
Egypt,Sweden,189
Egypt,South Sudan,290
Egypt,Thailand,1204
Egypt,Switzerland,2402
Egypt,Serbia,165
Egypt,Iraq,3736
Egypt,Chad,290
Egypt,South Africa,1204
Egypt,Tunisia,1480
Egypt,United Arab Emirates,35172
Egypt,Lebanon,6666
Egypt,United Kingdom,14405
Egypt,Austria,2119
Egypt,Uganda,555
Egypt,Greece,3416
Egypt,Hungary,1005
Egypt,Cyprus,560
United Arab Emirates,Canada,4284
United Arab Emirates,Turkmenistan,2048
United Arab Emirates,Ethiopia,10565
United Arab Emirates,Ghana,2904
United Arab Emirates,Saudi Arabia,119024
United Arab Emirates,Bosnia and Herzegovina,910
United Arab Emirates,Guinea,1815
United Arab Emirates,Russian Federation,35205
United Arab Emirates,Germany,53336
United Arab Emirates,Spain,18768
United Arab Emirates,Netherlands,14784
United Arab Emirates,Oman,42453
United Arab Emirates,Tanzania,6648
United Arab Emirates,New Zealand,4136
United Arab Emirates,Pakistan,91263
United Arab Emirates,India,245223
United Arab Emirates,Azerbaijan,8825
United Arab Emirates,Kenya,12136
United Arab Emirates,South Korea,8917
United Arab Emirates,Tajikistan,892
United Arab Emirates,Turkey,18080
United Arab Emirates,Afghanistan,8512
United Arab Emirates,Bangladesh,21458
United Arab Emirates,France,27864
United Arab Emirates,Rwanda,548
United Arab Emirates,Slovakia,710
United Arab Emirates,Somalia,2580
United Arab Emirates,Norway,2904
United Arab Emirates,Singapore,18504
United Arab Emirates,Montenegro,364
United Arab Emirates,China,35533
United Arab Emirates,Armenia,3584
United Arab Emirates,Ukraine,5414
United Arab Emirates,Bahrain,40576
United Arab Emirates,Finland,2975
United Arab Emirates,Indonesia,15808
United Arab Emirates,United States,58690
United Arab Emirates,Sweden,4206
United Arab Emirates,Vietnam,7118
United Arab Emirates,Bulgaria,1709
United Arab Emirates,Mauritius,8272
United Arab Emirates,Romania,3640
United Arab Emirates,Angola,798
United Arab Emirates,Portugal,2904
United Arab Emirates,South Africa,26560
United Arab Emirates,Brunei Darussalam,2032
United Arab Emirates,Malaysia,15368
United Arab Emirates,Austria,7040
United Arab Emirates,Uganda,3632
United Arab Emirates,Hungary,3332
United Arab Emirates,Brazil,7040
United Arab Emirates,Kuwait,57073
United Arab Emirates,Ireland,10000
United Arab Emirates,Nigeria,9638
United Arab Emirates,Czech Republic,5464
United Arab Emirates,Australia,55152
United Arab Emirates,Iran,33231
United Arab Emirates,Algeria,4204
United Arab Emirates,Belgium,7904
United Arab Emirates,Thailand,45838
United Arab Emirates,Iraq,15978
United Arab Emirates,Hong Kong,17944
United Arab Emirates,Georgia,4074
United Arab Emirates,Denmark,4136
United Arab Emirates,Philippines,23599
United Arab Emirates,Moldova,288
United Arab Emirates,Morocco,7053
United Arab Emirates,Croatia,3632
United Arab Emirates,Switzerland,19860
United Arab Emirates,Seychelles,7848
United Arab Emirates,Lebanon,20542
United Arab Emirates,Uzbekistan,1398
United Arab Emirates,Djibouti,728
United Arab Emirates,Taiwan,4136
United Arab Emirates,Cyprus,2904
United Arab Emirates,Qatar,1392
United Arab Emirates,Italy,31360
United Arab Emirates,Sudan,11891
United Arab Emirates,Nepal,12822
United Arab Emirates,Maldives,15100
United Arab Emirates,Zambia,2904
United Arab Emirates,Jordan,23152
United Arab Emirates,Kazakhstan,5860
United Arab Emirates,Poland,4874
United Arab Emirates,Eritrea,2071
United Arab Emirates,Kyrgyzstan,1456
United Arab Emirates,Macedonia,546
United Arab Emirates,South Sudan,728
United Arab Emirates,Japan,11974
United Arab Emirates,Belarus,408
United Arab Emirates,Myanmar,2904
United Arab Emirates,Egypt,35340
United Arab Emirates,Serbia,2416
United Arab Emirates,United Kingdom,101030
United Arab Emirates,Greece,3992
United Arab Emirates,Sri Lanka,21134
Mexico,Canada,50353
Mexico,Brazil,3479
Mexico,Italy,1994
Mexico,Panama,16317
Mexico,Costa Rica,6226
Mexico,France,7668
Mexico,Peru,10908
Mexico,Argentina,3162
Mexico,Ecuador,1092
Mexico,Cuba,11708
Mexico,El Salvador,3728
Mexico,Guatemala,6746
Mexico,Germany,7862
Mexico,Chile,3882
Mexico,Belgium,600
Mexico,China,1215
Mexico,Dominican Republic,1057
Mexico,Spain,10218
Mexico,Netherlands,5108
Mexico,United States,292609
Mexico,Portugal,388
Mexico,United Kingdom,14073
Mexico,Colombia,14853
Mexico,Japan,3612
Mexico,South Korea,972
Mexico,Nicaragua,1218
Lebanon,Turkey,10607
Lebanon,Qatar,6544
Lebanon,Italy,2881
Lebanon,Czech Republic,340
Lebanon,Kuwait,6989
Lebanon,France,7500
Lebanon,Ethiopia,3352
Lebanon,Nigeria,488
Lebanon,Bahrain,984
Lebanon,Saudi Arabia,9087
Lebanon,Iran,1084
Lebanon,Algeria,252
Lebanon,Belgium,504
Lebanon,Jordan,5280
Lebanon,Armenia,368
Lebanon,Russian Federation,632
Lebanon,Germany,3574
Lebanon,Iraq,6647
Lebanon,Spain,358
Lebanon,Ukraine,123
Lebanon,Ghana,488
Lebanon,Morocco,666
Lebanon,Switzerland,1089
Lebanon,Syria,510
Lebanon,Romania,536
Lebanon,Egypt,6666
Lebanon,United Arab Emirates,20374
Lebanon,Serbia,580
Lebanon,United Kingdom,3504
Lebanon,Greece,1548
Lebanon,Cyprus,2162
Djibouti,Turkey,1352
Djibouti,Qatar,1152
Djibouti,United Arab Emirates,728
Djibouti,France,208
Djibouti,Ethiopia,3912
Djibouti,Somalia,2008
Djibouti,Kenya,384
Mozambique,Qatar,780
Mozambique,Angola,825
Mozambique,Portugal,1122
Mozambique,South Africa,6924
Mozambique,Tanzania,278
Mozambique,Ethiopia,1480
Mozambique,Zimbabwe,102
Mozambique,Kenya,894
Greece,Turkey,9909
Greece,Qatar,4384
Greece,Italy,44320
Greece,Czech Republic,1218
Greece,Sudan,410
Greece,Lebanon,1548
Greece,Lithuania,2298
Greece,Malta,690
Greece,France,26321
Greece,Georgia,1552
Greece,Slovakia,945
Greece,Ireland,1671
Greece,Bahrain,615
Greece,Israel,8732
Greece,Iran,522
Greece,Singapore,490
Greece,Germany,93503
Greece,Armenia,522
Greece,Belgium,7762
Greece,Jordan,1118
Greece,Iraq,615
Greece,Spain,6429
Greece,Ukraine,2963
Greece,Netherlands,13924
Greece,Denmark,3666
Greece,Poland,8989
Greece,Finland,1430
Greece,Saudi Arabia,1168
Greece,Moldova,751
Greece,United States,2904
Greece,Russian Federation,14196
Greece,Sweden,4645
Greece,Latvia,288
Greece,Croatia,312
Greece,Luxembourg,348
Greece,Switzerland,11865
Greece,Bulgaria,4772
Greece,Romania,8111
Greece,Albania,1302
Greece,Estonia,695
Greece,Portugal,1044
Greece,Morocco,820
Greece,Egypt,3668
Greece,United Arab Emirates,3992
Greece,Serbia,2262
Greece,United Kingdom,74825
Greece,Austria,8607
Greece,China,849
Greece,Hungary,3790
Greece,Cyprus,24216
Japan,Canada,10896
Japan,Turkey,2384
Japan,Qatar,4568
Japan,Italy,3892
Japan,French Polynesia,590
Japan,Cambodia,2184
Japan,France,13316
Japan,Palau,660
Japan,Uzbekistan,454
Japan,Australia,24931
Japan,Singapore,40574
Japan,Papua New Guinea,466
Japan,China,210848
Japan,Russian Federation,4352
Japan,Thailand,61355
Japan,Germany,18900
Japan,Hong Kong,107378
Japan,Poland,1008
Japan,Spain,1152
Japan,Netherlands,5034
Japan,Denmark,1470
Japan,Philippines,44068
Japan,Indonesia,34432
Japan,New Caledonia,2926
Japan,United States,156712
Japan,Belgium,2184
Japan,Vietnam,32068
Japan,Mongolia,596
Japan,Finland,6834
Japan,Switzerland,1752
Japan,New Zealand,4404
Japan,Myanmar,1872
Japan,Macau,3292
Japan,Mexico,4128
Japan,Egypt,364
Japan,United Arab Emirates,11877
Japan,India,7136
Japan,United Kingdom,9984
Japan,Malaysia,21263
Japan,Sri Lanka,1188
Japan,Taiwan,162982
Japan,Fiji,819
Taiwan,Canada,9483
Taiwan,Turkey,1875
Taiwan,Italy,612
Taiwan,Cambodia,4082
Taiwan,France,3700
Taiwan,Palau,495
Taiwan,Australia,9522
Taiwan,Singapore,24487
Taiwan,China,144129
Taiwan,Thailand,35384
Taiwan,Germany,2864
Taiwan,Hong Kong,117779
Taiwan,Netherlands,4506
Taiwan,Philippines,21159
Taiwan,Indonesia,9872
Taiwan,United States,42206
Taiwan,Vietnam,36248
Taiwan,Brazil,826
Taiwan,Myanmar,1320
Taiwan,Macau,26896
Taiwan,United Arab Emirates,4136
Taiwan,India,930
Taiwan,United Kingdom,1836
Taiwan,Malaysia,19999
Taiwan,Austria,3236
Taiwan,Japan,163342
Taiwan,South Korea,53240
Barbados,Canada,2755
Barbados,United States,6420
Barbados,Martinique,554
Barbados,Saint Lucia,1632
Barbados,Guyana,1088
Barbados,United Kingdom,8099
Barbados,Trinidad and Tobago,2660
Barbados,Grenada,1428
Barbados,Antigua and Barbuda,884
Barbados,Saint Vincent and Grenadines,2176
Barbados,Germany,771
Barbados,Guadeloupe,204
Barbados,Dominica,884
United States,Canada,137114
United States,Brazil,62860
United States,Qatar,16120
United States,Italy,20469
United States,Peru,17630
United States,Kuwait,2552
United States,Panama,31368
United States,Hungary,1512
United States,Costa Rica,17992
United States,Morocco,2466
United States,France,32362
United States,Bahamas,31997
United States,Norway,532
United States,Bermuda,7343
United States,Aruba,11200
United States,Ireland,12200
United States,Cayman Islands,10886
United States,Argentina,19669
United States,Bolivia,2511
United States,Venezuela,7094
United States,Nigeria,936
United States,Ecuador,13754
United States,Curacao,2798
United States,Ghana,868
United States,Uzbekistan,492
United States,Israel,7126
United States,Australia,5824
United States,Saint Lucia,2552
United States,Cuba,22453
United States,El Salvador,9041
United States,Iceland,11893
United States,Jordan,2780
United States,Saint Kitts and Nevis,2303
United States,Belgium,6928
United States,Grenada and South Grenadines,2224
United States,Guatemala,9231
United States,Germany,45533
United States,Chile,12229
United States,Martinique,880
United States,Russian Federation,8980
United States,China,30393
United States,Dominican Republic,52718
United States,Belize,7237
United States,Hong Kong,15112
United States,Poland,3780
United States,Spain,26275
United States,Ukraine,2624
United States,Netherlands,20691
United States,Sint Maarten,3704
United States,Turkey,12884
United States,Finland,3091
United States,Saudi Arabia,1248
United States,Bonaire, Saint Eustatius & Saba,287
United States,Trinidad and Tobago,13476
United States,Serbia,508
United States,Uruguay,1912
United States,Guyana,1901
United States,Switzerland,12776
United States,New Zealand,1734
United States,Guadeloupe,1204
United States,South Korea,17079
United States,Denmark,2758
United States,Jamaica,36631
United States,Honduras,8417
United States,Portugal,5792
United States,Mexico,189311
United States,Egypt,2912
United States,United Arab Emirates,36826
United States,Sweden,2394
United States,Haiti,19240
United States,India,5056
United States,Azerbaijan,526
United States,South Africa,2536
United States,United Kingdom,113285
United States,Austria,3180
United States,Antigua and Barbuda,2581
United States,Colombia,36315
United States,Japan,29850
United States,Taiwan,10540
United States,Turks and Caicos Islands,6767
United States,Barbados,6130
United States,Nicaragua,6815
