Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
countryName:Sweden,,Stockholm-Arlanda,,,OSL,"Oslo Airport",Oslo,,Norway,186,27847
countryName:Sweden,,Stockholm-Arlanda,,,HEL,Helsinki-Vantaa,Helsinki,,Finland,195,25350
countryName:Sweden,,Stockholm-Arlanda,,,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",104,18249
countryName:Sweden,,Stockholm-Arlanda,,,FRA,"Frankfurt International Airport",Frankfurt,,Germany,110,18045
countryName:Sweden,,Stockholm-Arlanda,,,AMS,Schiphol,Amsterdam,,Netherlands,130,17657
countryName:Sweden,,Stockholm-Arlanda,,,MUC,"Franz Josef Strauss International",Munich,,Germany,74,11733
countryName:Sweden,,Goteborg,,,GDN,"Gdansk Lech Walesa",Gdansk,,Poland,35,8288
countryName:Sweden,,Stockholm-Arlanda,,,LGW,Gatwick,London-Gatwick,EN,"United Kingdom",44,8250
countryName:Sweden,,Stockholm-Arlanda,,,BRU,"Brussels Airport",Brussels,,Belgium,62,7781
countryName:Sweden,,Stockholm-Arlanda,,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,53,7618
countryName:Sweden,,Stockholm-Arlanda,,,IST,Ataturk,Istanbul,,Turkey,31,6608
countryName:Sweden,,Stockholm-Arlanda,,,ZRH,Zurich,Zurich,,Switzerland,40,6531
countryName:Sweden,,Goteborg,,,STN,Stansted,London-Stansted,EN,"United Kingdom",34,6426
countryName:Sweden,,Stockholm-Arlanda,,,DUS,"Duesseldorf International",Duesseldorf,,Germany,46,6058
countryName:Sweden,,Stockholm-Arlanda,,,WAW,Okecie,Warsaw,,Poland,40,6045
countryName:Sweden,,Stockholm-Arlanda,,,RIX,"Riga-Arpt Internaitonal",Riga,,Latvia,51,5426
countryName:Sweden,,Stockholm-Arlanda,,,BCN,Barcelona,Barcelona,,Spain,23,5286
countryName:Sweden,,Stockholm-Arlanda,,,AGP,"Malaga Airport",Malaga,,Spain,26,5222
countryName:Sweden,,Stockholm-Arlanda,,,ALC,"Alicante Airport",Alicante,,Spain,27,4990
countryName:Sweden,,Stockholm-Arlanda,,,BUD,"Liszt Ferenc International",Budapest,,Hungary,18,4664
countryName:Sweden,,Stockholm-Arlanda,,,TLL,"Lennart Meri",Tallinn,,Estonia,56,4307
countryName:Sweden,,Stockholm-Arlanda,,,DXB,"Dubai International",Dubai,,"United Arab Emirates",9,4206
countryName:Sweden,,Stockholm-Arlanda,,,DOH,"Hamad International Airport",Doha,,Qatar,13,4064
countryName:Sweden,,Stockholm-Arlanda,,,HAM,Hamburg,Hamburg,,Germany,34,3696
countryName:Sweden,,Goteborg,,,SKP,Skopje,Skopje,,Macedonia,14,3638
countryName:Sweden,,Stockholm-Arlanda,,,BEG,"Nikola Tesla Airport",Belgrade,,Serbia,15,3362
countryName:Sweden,,Stockholm-Arlanda,,,KRK,"John Paul Ii Balice In",Krakow,,Poland,18,3297
countryName:Sweden,,Stockholm-Arlanda,,,VNO,"Vilnius International",Vilnius,,Lithuania,27,3233
countryName:Sweden,,Stockholm-Arlanda,,,PRG,Ruzyne,Prague,,"Czech Republic",23,3216
countryName:Sweden,,Stockholm-Arlanda,,,KEF,"Keflavik Intl",Reykjavik,,Iceland,10,3127
countryName:Sweden,,Stockholm-Arlanda,,,LPA,"Gran Canaria","Gran Canaria",,Spain,15,3018
countryName:Sweden,,Stockholm-Arlanda,,,BKK,"Suvarnabhumi - New Bangkok International Airport",Bangkok,,Thailand,1,2912
countryName:Sweden,,Goteborg,,,TZL,"Tuzla International Airport",Tuzla,,"Bosnia and Herzegovina",11,2782
countryName:Sweden,,Stockholm-Arlanda,,,VIE,"Vienna International",Vienna,,Austria,20,2760
countryName:Sweden,,Stockholm-Arlanda,,,LIS,Lisboa,Lisbon,,Portugal,5,2710
countryName:Sweden,,Stockholm-Arlanda,,,MAN,"Manchester Airport",Manchester,EN,"United Kingdom",18,2700
countryName:Sweden,,Stockholm-Arlanda,,,PMI,"Palma De Mallorca","Palma de Mallorca",,Spain,14,2638
countryName:Sweden,,Stockholm-Arlanda,,,SVO,Sheremetyevo,Moscow-Sheremetyevo,CF,"Russian Federation",9,2528
countryName:Sweden,,Stockholm-Arlanda,,,OTP,"Otopeni International",Bucharest,,Romania,12,2274
countryName:Sweden,,Malmo-Sturup,,,KTW,Pyrzowice,Katowice,,Poland,6,2140
countryName:Sweden,,Stockholm-Arlanda,,,EWR,"Newark Intl",Newark,NJ,"United States",1,2128
countryName:Sweden,,Stockholm-Arlanda,,,ORD,"O'Hare International",Chicago-O'Hare,IL,"United States",1,2128
countryName:Sweden,,Goteborg,,,BGY,"Bergamo/Orio Al Serio","Milan-Orio Serio",,Italy,11,2079
countryName:Sweden,,Stockholm-Arlanda,,,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,9,1972
countryName:Sweden,,Stockholm-Arlanda,,,ATH,"Eleftherios Venizelos Airport",Athens,,Greece,10,1939
countryName:Sweden,,Stockholm-Arlanda,,,FCO,Fiumicino,"Rome-Da Vinci",,Italy,10,1880
countryName:Sweden,,Stockholm-Arlanda,,,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",1,1862
countryName:Sweden,,Goteborg,,,WMI,Modlin,"Nowy Dwor Mazowiecki",,Poland,9,1701
countryName:Sweden,,Stockholm-Arlanda,,,TFS,"Sur Reina Sofia",Tenerife-Reinasofia,,Spain,9,1696
countryName:Sweden,,Stockholm-Arlanda,,,KBP,"Boryspil International",Kiev,,Ukraine,14,1664
countryName:Sweden,,Stockholm-Arlanda,,,DUB,"Dublin International",Dublin,,Ireland,11,1641
countryName:Sweden,,Stockholm-Arlanda,,,ADD,"Bole International","Addis Ababa",,Ethiopia,1,1620
