Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
countryName:Turkey,,Denizli,,,IKA,"Imam Khomeini International",Tehran,,Iran,113,26293
countryName:Turkey,,Adana,,,DUS,"Duesseldorf International",Duesseldorf,,Germany,125,23894
countryName:Turkey,,Adana,,,FRA,"Frankfurt International Airport",Frankfurt,,Germany,104,19970
countryName:Turkey,,Istanbul,,,TLV,"Ben Gurion Intl","Tel Aviv-Yafo",,Israel,73,16398
countryName:Turkey,,"Izmir-Adnan Mend",,,CGN,"Konrad Adenauer",Cologne-Bonn,,Germany,84,15216
countryName:Turkey,,"Izmir-Adnan Mend",,,AMS,Schiphol,Amsterdam,,Netherlands,66,14890
countryName:Turkey,,Adana,,,ECN,Ercan,Ercan,,Cyprus,74,14504
countryName:Turkey,,Istanbul,,,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",51,14350
countryName:Turkey,,Ankara,,,GYD,"Heydar Aliyev",Baku,,Azerbaijan,81,14090
countryName:Turkey,,Adana,,,JED,"King Abdulaziz Intl",Jeddah,,"Saudi Arabia",63,13645
countryName:Turkey,,"Izmir-Adnan Mend",,,TXL,Tegel,Berlin-Tegel,,Germany,73,13477
countryName:Turkey,,"Izmir-Adnan Mend",,,MUC,"Franz Josef Strauss International",Munich,,Germany,71,13281
countryName:Turkey,,Istanbul,,,DXB,"Dubai International",Dubai,,"United Arab Emirates",40,13242
countryName:Turkey,,"Izmir-Adnan Mend",,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,58,13025
countryName:Turkey,,"Izmir-Adnan Mend",,,STR,"Echterdingen Airport",Stuttgart,,Germany,66,12460
countryName:Turkey,,Adana,,,BEY,"Rafic Hariri International",Beirut,,Lebanon,50,11961
countryName:Turkey,,"Izmir-Adnan Mend",,,LGW,Gatwick,London-Gatwick,EN,"United Kingdom",61,11955
countryName:Turkey,,"Izmir-Adnan Mend",,,HAJ,Hannover,Hannover,,Germany,60,11179
countryName:Turkey,,Antalya,,,BGW,"Baghdad International Airport",Baghdad,,Iraq,61,10334
countryName:Turkey,,Adana,,,DOH,"Hamad International Airport",Doha,,Qatar,56,10048
countryName:Turkey,,"Izmir-Adnan Mend",,,ZRH,Zurich,Zurich,,Switzerland,56,10035
countryName:Turkey,,"Izmir-Adnan Mend",,,VIE,"Vienna International",Vienna,,Austria,56,9972
countryName:Turkey,,"Izmir-Adnan Mend",,,HAM,Hamburg,Hamburg,,Germany,49,9219
countryName:Turkey,,Istanbul,,,KWI,"Kuwait Intl",Kuwait,,Kuwait,43,8993
countryName:Turkey,,Ankara,,,KBP,"Boryspil International",Kiev,,Ukraine,37,8523
countryName:Turkey,,"Izmir-Adnan Mend",,,ATH,"Eleftherios Venizelos Airport",Athens,,Greece,57,8472
countryName:Turkey,,"Izmir-Adnan Mend",,,MAN,"Manchester Airport",Manchester,EN,"United Kingdom",37,8367
countryName:Turkey,,Antalya,,,VKO,Vnukovo,Moscow-Vnukovo,CF,"Russian Federation",44,8362
countryName:Turkey,,Antalya,,,SVO,Sheremetyevo,Moscow-Sheremetyevo,CF,"Russian Federation",41,7856
countryName:Turkey,,Istanbul,,,TBS,"Novo Alexeyevka International",Tbilisi,,Georgia,35,7818
countryName:Turkey,,Istanbul,,,OTP,"Otopeni International",Bucharest,,Romania,33,7792
countryName:Turkey,,"Izmir-Adnan Mend",,,NUE,Nuremberg,Nuremberg,,Germany,42,7678
countryName:Turkey,,"Izmir-Adnan Mend",,,BRU,"Brussels Airport",Brussels,,Belgium,42,7529
countryName:Turkey,,Istanbul,,,CAI,"Cairo Intl",Cairo,,Egypt,37,7088
countryName:Turkey,,Ankara,,,MED,"Medina-Prince Mohammad",Madinah,,"Saudi Arabia",31,7019
countryName:Turkey,,Istanbul,,,ALG,"Houari Boumediene",Algiers,,Algeria,33,7014
countryName:Turkey,,Istanbul,,,MXP,Malpensa,Milan-Malpensa,,Italy,36,6931
countryName:Turkey,,Istanbul,,,FCO,Fiumicino,"Rome-Da Vinci",,Italy,28,6629
countryName:Turkey,,Hatay,,,RUH,"King Khalid Intl",Riyadh,,"Saudi Arabia",31,6338
countryName:Turkey,,Istanbul,,,ICN,"Incheon International Airport",Seoul,,"South Korea",16,6152
countryName:Turkey,,Diyarbakir,,,EBL,"Erbil International Airport",Erbil,,Iraq,32,5975
countryName:Turkey,,Istanbul,,,BCN,Barcelona,Barcelona,,Spain,22,5875
countryName:Turkey,,Istanbul,,,AMM,"Queen Alia Intl",Amman,,Jordan,27,5588
countryName:Turkey,,Istanbul,,,CMN,"Mohammed V",Casablanca,,Morocco,20,5432
countryName:Turkey,,Istanbul,,,BKK,"Suvarnabhumi - New Bangkok International Airport",Bangkok,,Thailand,9,5384
countryName:Turkey,,Istanbul,,,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",9,5384
countryName:Turkey,,Istanbul,,,ODS,"Odesa International",Odesa,,Ukraine,25,4975
countryName:Turkey,,Antalya,,,ARN,Arlanda,Stockholm-Arlanda,,Sweden,27,4901
countryName:Turkey,,"Izmir-Adnan Mend",,,CPH,Kastrup,Copenhagen,,Denmark,26,4674
countryName:Turkey,,Istanbul,,,SIN,Changi,Singapore,,Singapore,9,4400
countryName:Turkey,,Istanbul,,,BEG,"Nikola Tesla Airport",Belgrade,,Serbia,22,4346
countryName:Turkey,,Istanbul,,,VCE,"Marco Polo",Venice,,Italy,17,4296
countryName:Turkey,,Antalya,,,SXF,Schoenefeld,Berlin-Schoenefeld,,Germany,23,4254
countryName:Turkey,,Istanbul,,,PRG,Ruzyne,Prague,,"Czech Republic",17,4160
countryName:Turkey,,Ankara,,,KBL,"Kabul International",Kabul,,Afghanistan,16,4140
countryName:Turkey,,Antalya,,,ALA,"Almaty International",Almaty,,Kazakhstan,21,3996
countryName:Turkey,,Istanbul,,,BUD,"Liszt Ferenc International",Budapest,,Hungary,21,3968
countryName:Turkey,,Istanbul,,,TBZ,"Tabriz International",Tabriz,,Iran,13,3940
countryName:Turkey,,Istanbul,,,AUH,"Abu Dhabi Intl","Abu Dhabi",,"United Arab Emirates",14,3835
countryName:Turkey,,Istanbul,,,TAS,"Tashkent-Vostochny International",Tashkent,,Uzbekistan,15,3821
countryName:Turkey,,"Izmir-Adnan Mend",,,BHX,"Birmingham Airport",Birmingham,EN,"United Kingdom",19,3739
countryName:Turkey,,Ankara,,,ASB,"Ashgabat International",Ashgabat,,Turkmenistan,24,3736
countryName:Turkey,,Istanbul,,,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,9,3664
countryName:Turkey,,"Izmir-Adnan Mend",,,BRE,Bremen,Bremen,,Germany,21,3661
countryName:Turkey,,Istanbul,,,GVA,"Geneva International Airport",Geneva,,Switzerland,17,3654
countryName:Turkey,,"Izmir-Adnan Mend",,,BSL,"EuroAirport Swiss CH",Basel/Mulhouse,,Switzerland,20,3474
countryName:Turkey,,Antalya,,,STN,Stansted,London-Stansted,EN,"United Kingdom",18,3463
countryName:Turkey,,Istanbul,,,KIV,"Kishinev International",Kishinev,,Moldova,17,3416
countryName:Turkey,,Istanbul,,,SOF,Sofia-Vrazhdebna,Sofia,,Bulgaria,17,3318
countryName:Turkey,,Antalya,,,FMO,"Osnabruck International",Muenster,,Germany,15,3268
countryName:Turkey,,Gazipasa,,,HEL,Helsinki-Vantaa,Helsinki,,Finland,17,3093
countryName:Turkey,,Gazipasa,,,OSL,"Oslo Airport",Oslo,,Norway,17,3069
countryName:Turkey,,Istanbul,,,GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,1,3000
countryName:Turkey,,Istanbul,,,BOM,"Mumbai (Chhatrapati Shivaji) International",Mumbai/Bombay,,India,1,3000
countryName:Turkey,,Istanbul,,,DEL,"Indira Gandhi Intl",Delhi,,India,1,3000
countryName:Turkey,,Istanbul,,,CAN,"Baiyun International",Guangzhou,,China,1,3000
