Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
countryName:Mexico,,Acapulco,,,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",348,52318
countryName:Mexico,,Aguascalientes,,,DFW,"Dallas/Ft Worth Intl","Dallas/Fort Worth",TX,"United States",290,33132
countryName:Mexico,,Cancun,,,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",134,22455
countryName:Mexico,,Cancun,,,ORD,"O'Hare International",Chicago-O'Hare,IL,"United States",132,20150
countryName:Mexico,,Leon/Guanajuato,,,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",138,19345
countryName:Mexico,,Cancun,,,MIA,"Miami International",Miami,FL,"United States",118,17295
countryName:Mexico,,Cancun,,,SFO,"San Francisco Intl","San Francisco",CA,"United States",105,16557
countryName:Mexico,,Cancun,,,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,96,16317
countryName:Mexico,,Cancun,,,YYZ,"Lester B. Pearson Intl",Toronto,ON,Canada,80,14260
countryName:Mexico,,Cancun,,,BOG,"El Dorado Intl",Bogota,,Colombia,82,13796
countryName:Mexico,,Cancun,,,HAV,"Jose Marti Intl",Havana,,Cuba,68,11336
countryName:Mexico,,Cancun,,,YVR,"Vancouver Intl",Vancouver,BC,Canada,65,11009
countryName:Mexico,,Cancun,,,LIM,"Jorge Chavez Intl",Lima,,Peru,60,10908
countryName:Mexico,,Culiacan,,,PHX,"Sky Harbor Intl",Phoenix,AZ,"United States",83,10825
countryName:Mexico,,Cancun,,,YYC,"Calgary Intl",Calgary,AB,Canada,61,10677
countryName:Mexico,,Cancun,,,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,31,10218
countryName:Mexico,,Cancun,,,DEN,"Denver International",Denver,CO,"United States",62,10104
countryName:Mexico,,Cancun,,,YUL,"Pierre E. Trudeau Intl",Montreal-PET,QC,Canada,38,8457
countryName:Mexico,,Cancun,,,MCO,"Orlando Intl",Orlando,FL,"United States",43,8082
countryName:Mexico,,Cancun,,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,16,7668
countryName:Mexico,,Cancun,,,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",44,7014
countryName:Mexico,,Cancun,,,GUA,"La Aurora International","Guatemala City",,Guatemala,52,6746
