Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
"countryName:Costa Rica",,Liberia,,,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,89,12576
"countryName:Costa Rica",,"San Jose",,,MEX,"Benito Juarez Intl","Mexico City",,Mexico,31,5876
"countryName:Costa Rica",,"San Jose",,,SAL,"El Salvador Intl","San Salvador",,"El Salvador",35,5736
"countryName:Costa Rica",,Liberia,,,MIA,"Miami International",Miami,FL,"United States",32,5612
"countryName:Costa Rica",,"San Jose",,,GUA,"La Aurora International","Guatemala City",,Guatemala,38,4625
"countryName:Costa Rica",,Liberia,,,IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",27,4293
"countryName:Costa Rica",,Liberia,,,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",17,3696
"countryName:Costa Rica",,"San Jose",,,BOG,"El Dorado Intl",Bogota,,Colombia,17,3360
"countryName:Costa Rica",,Liberia,,,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",18,3083
"countryName:Costa Rica",,"San Jose",,,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,1,2664
"countryName:Costa Rica",,"San Jose",,,MGA,"Augusto C Sandino Intl",Managua,,Nicaragua,20,2552
"countryName:Costa Rica",,"San Jose",,,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",9,2272
"countryName:Costa Rica",,Liberia,,,HOU,"William P Hobby",Houston-Hobby,TX,"United States",10,2185
"countryName:Costa Rica",,"San Jose",,,LIM,"Jorge Chavez Intl",Lima,,Peru,7,2061
"countryName:Costa Rica",,"San Jose",,,TGU,"Toncontin Intl",Tegucigalpa,,Honduras,9,1960
"countryName:Costa Rica",,Liberia,,,EWR,"Newark Intl",Newark,NJ,"United States",10,1590
"countryName:Costa Rica",,Liberia,,,YYZ,"Lester B. Pearson Intl",Toronto,ON,Canada,8,1582
"countryName:Costa Rica",,Liberia,,,DFW,"Dallas/Ft Worth Intl","Dallas/Fort Worth",TX,"United States",9,1521
"countryName:Costa Rica",,"San Jose",,,MCO,"Orlando Intl",Orlando,FL,"United States",1,1200
"countryName:Costa Rica",,Liberia,,,LGW,Gatwick,London-Gatwick,EN,"United Kingdom",4,1199
"countryName:Costa Rica",,"San Jose",,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,1,1083
"countryName:Costa Rica",,"San Jose",,,AMS,Schiphol,Amsterdam,,Netherlands,1,882
"countryName:Costa Rica",,Liberia,,,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",3,750
"countryName:Costa Rica",,"San Jose",,,BLB,"Panama Pacifico",Balboa,,Panama,1,744
"countryName:Costa Rica",,"San Jose",,,CUN,"Cancun International",Cancun,,Mexico,1,720
"countryName:Costa Rica",,"San Jose",,,PAC,"Marcos A. Gelabert International","Panama City-Paitilla",,Panama,2,672
"countryName:Costa Rica",,Liberia,,,YYC,"Calgary Intl",Calgary,AB,Canada,1,556
"countryName:Costa Rica",,"San Jose",,,SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,1,544
"countryName:Costa Rica",,"San Jose",,,SDQ,"Las Americas International","Santo Domingo",,"Dominican Republic",2,514
"countryName:Costa Rica",,"San Jose",,,FRA,"Frankfurt International Airport",Frankfurt,,Germany,1,488
"countryName:Costa Rica",,"San Jose",,,GDL,"Miguel Hidalgo Intl",Guadalajara,,Mexico,1,432
"countryName:Costa Rica",,Liberia,,,BWI,"Baltimore/Wash Intl",Baltimore,MD,"United States",2,268
"countryName:Costa Rica",,"San Jose",,,YUL,"Pierre E. Trudeau Intl",Montreal-PET,QC,Canada,1,247
"countryName:Costa Rica",,"San Jose",,,HAV,"Jose Marti Intl",Havana,,Cuba,3,235
"countryName:Costa Rica",,Liberia,,,DEN,"Denver International",Denver,CO,"United States",1,159
"countryName:Costa Rica",,Liberia,,,ORD,"O'Hare International",Chicago-O'Hare,IL,"United States",1,159
"countryName:Costa Rica",,"San Jose",,,BOC,"Isla Colon International","Bocas Del Toro",,Panama,1,152
"countryName:Costa Rica",,"San Jose",,,DAV,"Enrique Malek International",David,,Panama,1,152
