Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
countryName:China,,Beihai,,,BKK,"Suvarnabhumi - New Bangkok International Airport",Bangkok,,Thailand,132,23614
countryName:China,,Guangzhou,,,DMK,"Don Muang International Airport - formerly BKK",Bangkok,,Thailand,78,17519
countryName:China,,Guangzhou,,,SIN,Changi,Singapore,,Singapore,81,16364
countryName:China,,Guangzhou,,,KUL,"Kuala Lumpur International Airport","Kuala Lumpur",,Malaysia,78,16110
countryName:China,,Guangzhou,,,SYD,"Kingsford Smith",Sydney,NS,Australia,23,9874
countryName:China,,Guangzhou,,,HKT,"Phuket Intl",Phuket,,Thailand,50,9127
countryName:China,,Guangzhou,,,PNH,International,"Phnom Penh",,Cambodia,45,8724
countryName:China,,Guangzhou,,,SGN,"Tan Son Nhat International Airport","Ho Chi Minh City",,Vietnam,39,8318
countryName:China,,Baotou,,,REP,"Angkor International","Siem Reap",,Cambodia,45,8247
countryName:China,,Guangzhou,,,MEL,"Melbourne Airport",Melbourne,VI,Australia,23,7896
countryName:China,,Guangzhou,,,DXB,"Dubai International",Dubai,,"United Arab Emirates",12,7097
countryName:China,,Guangzhou,,,HND,"Tokyo Intl (Haneda)",Tokyo-Haneda,,Japan,25,6408
countryName:China,,Guangzhou,,,LAX,"Los Angeles Intl","Los Angeles",CA,"United States",13,6360
countryName:China,,Guangzhou,,,DPS,"Ngurah Rai",Denpasar-Bali,,Indonesia,23,5970
countryName:China,,Guangzhou,,,MNL,"Ninoy Aquino Intl",Manila,,Philippines,39,5836
countryName:China,,Guangzhou,,,SVO,Sheremetyevo,Moscow-Sheremetyevo,CF,"Russian Federation",11,5212
countryName:China,,Guangzhou,,,DOH,"Hamad International Airport",Doha,,Qatar,4,4916
countryName:China,,Guangzhou,,,AKL,"Auckland Intl",Auckland,,"New Zealand",11,4896
countryName:China,,Guangzhou,,,CXR,"Cam Rahn International","Nha Trang",,Vietnam,28,4140
countryName:China,,Guangzhou,,,KIX,"Kansai International",Osaka-Kansai,,Japan,18,4071
countryName:China,,Guangzhou,,,ADD,"Bole International","Addis Ababa",,Ethiopia,9,3882
countryName:China,,Guangzhou,,,CGK,"Soekarno-Hatta Intl",Jakarta,,Indonesia,17,3880
countryName:China,,Guangzhou,,,BKI,"Kota Kinabalu International","Kota Kinabalu",,Malaysia,19,3488
countryName:China,,Guangzhou,,,CMB,"Bandaranaike Intl",Colombo,,"Sri Lanka",15,3162
countryName:China,,Guangzhou,,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,8,3076
countryName:China,,Guangzhou,,,NRT,Narita,Tokyo-Narita,,Japan,8,3053
countryName:China,,Guangzhou,,,IST,Ataturk,Istanbul,,Turkey,1,3000
countryName:China,,Guangzhou,,,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",3,2994
countryName:China,,Guangzhou,,,CAI,"Cairo Intl",Cairo,,Egypt,1,2912
countryName:China,,Baotou,,,UTP,"Rayong-Pattaya Intl",U-Tapao,,Thailand,11,2862
countryName:China,,Guangzhou,,,YVR,"Vancouver Intl",Vancouver,BC,Canada,7,2386
