Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
"countryName:United Arab Emirates",,"Abu Dhabi",,,KWI,"Kuwait Intl",Kuwait,,Kuwait,268,57073
"countryName:United Arab Emirates",,"Abu Dhabi",,,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",113,49320
"countryName:United Arab Emirates",,"Abu Dhabi",,,BOM,"Mumbai (Chhatrapati Shivaji) International",Mumbai/Bombay,,India,190,43958
"countryName:United Arab Emirates",,"Abu Dhabi",,,BAH,"Bahrain Intl",Bahrain,,Bahrain,214,40576
"countryName:United Arab Emirates",,"Abu Dhabi",,,DEL,"Indira Gandhi Intl",Delhi,,India,167,38411
"countryName:United Arab Emirates",,"Abu Dhabi",,,BKK,"Suvarnabhumi - New Bangkok International Airport",Bangkok,,Thailand,89,37182
"countryName:United Arab Emirates",,"Abu Dhabi",,,MCT,"Seeb International",Muscat,,Oman,201,36247
"countryName:United Arab Emirates",,"Abu Dhabi",,,JED,"King Abdulaziz Intl",Jeddah,,"Saudi Arabia",122,30413
"countryName:United Arab Emirates",,"Al Ain",,,CAI,"Cairo Intl",Cairo,,Egypt,130,29572
"countryName:United Arab Emirates",,"Abu Dhabi",,,KHI,"Jinnah Intl",Karachi,,Pakistan,129,29009
"countryName:United Arab Emirates",,"Abu Dhabi",,,COK,"Kochi International Airport",Kochi,,India,137,28890
"countryName:United Arab Emirates",,"Abu Dhabi",,,DMM,"King Fahad International Airport",Dammam,,"Saudi Arabia",131,28706
"countryName:United Arab Emirates",,"Abu Dhabi",,,RUH,"King Khalid Intl",Riyadh,,"Saudi Arabia",130,27331
"countryName:United Arab Emirates",,"Abu Dhabi",,,AMM,"Queen Alia Intl",Amman,,Jordan,103,22480
"countryName:United Arab Emirates",,"Abu Dhabi",,,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,47,21550
"countryName:United Arab Emirates",,"Abu Dhabi",,,CMB,"Bandaranaike Intl",Colombo,,"Sri Lanka",83,21134
"countryName:United Arab Emirates",,"Abu Dhabi",,,HYD,"Rajiv Gandhi International",Hyderabad,,India,86,20926
"countryName:United Arab Emirates",,"Abu Dhabi",,,MNL,"Ninoy Aquino Intl",Manila,,Philippines,56,20695
"countryName:United Arab Emirates",,"Abu Dhabi",,,BEY,"Rafic Hariri International",Beirut,,Lebanon,85,20542
"countryName:United Arab Emirates",,"Abu Dhabi",,,SYD,"Kingsford Smith",Sydney,NS,Australia,36,20376
"countryName:United Arab Emirates",,"Abu Dhabi",,,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",34,20234
"countryName:United Arab Emirates",,Dubai,,,IKA,"Imam Khomeini International",Tehran,,Iran,77,19244
"countryName:United Arab Emirates",,"Abu Dhabi",,,SIN,Changi,Singapore,,Singapore,41,18504
"countryName:United Arab Emirates",,"Abu Dhabi",,,FRA,"Frankfurt International Airport",Frankfurt,,Germany,42,18192
"countryName:United Arab Emirates",,"Abu Dhabi",,,MAN,"Manchester Airport",Manchester,EN,"United Kingdom",35,18104
"countryName:United Arab Emirates",,"Abu Dhabi",,,HKG,"Hong Kong Intl","Hong Kong",,"Hong Kong",41,17944
"countryName:United Arab Emirates",,"Al Ain",,,CCJ,"Calicut International",Calicut-Kozhikode,,India,99,17750
"countryName:United Arab Emirates",,"Abu Dhabi",,,DAC,"Hazrat Shahjalal International",Dhaka,,Bangladesh,58,17048
"countryName:United Arab Emirates",,"Abu Dhabi",,,MUC,"Franz Josef Strauss International",Munich,,Germany,40,16872
"countryName:United Arab Emirates",,"Abu Dhabi",,,MAA,"Chennai International Airport",Chennai,,India,68,16682
"countryName:United Arab Emirates",,"Abu Dhabi",,,TRV,"Trivandrum International",Thiruvananthapuram,,India,87,16491
"countryName:United Arab Emirates",,"Abu Dhabi",,,BLR,"Kempegowda International",Bengaluru,,India,57,15800
"countryName:United Arab Emirates",,"Abu Dhabi",,,ISB,"Benazir Bhutto Intl",Islamabad,,Pakistan,72,15669
"countryName:United Arab Emirates",,"Abu Dhabi",,,KUL,"Kuala Lumpur International Airport","Kuala Lumpur",,Malaysia,33,15368
"countryName:United Arab Emirates",,"Abu Dhabi",,,MLE,"Ibrahim Nasir International",Male,,Maldives,47,15100
"countryName:United Arab Emirates",,"Abu Dhabi",,,JNB,"O.R. Tambo International Airport",Johannesburg,,"South Africa",33,14944
"countryName:United Arab Emirates",,"Abu Dhabi",,,AMS,Schiphol,Amsterdam,,Netherlands,33,14784
"countryName:United Arab Emirates",,"Abu Dhabi",,,DME,Domodedovo,Moscow-Domodedovo,CF,"Russian Federation",46,13697
"countryName:United Arab Emirates",,"Abu Dhabi",,,LHE,"Allama Iqbal Intl",Lahore,,Pakistan,65,13620
"countryName:United Arab Emirates",,"Abu Dhabi",,,MEL,"Melbourne Airport",Melbourne,VI,Australia,28,13344
"countryName:United Arab Emirates",,"Abu Dhabi",,,IST,Ataturk,Istanbul,,Turkey,37,13088
"countryName:United Arab Emirates",,"Abu Dhabi",,,MXP,Malpensa,Milan-Malpensa,,Italy,27,13024
"countryName:United Arab Emirates",,"Abu Dhabi",,,CGK,"Soekarno-Hatta Intl",Jakarta,,Indonesia,37,12904
"countryName:United Arab Emirates",,"Abu Dhabi",,,KTM,"Tribhuvan International",Kathmandu,,Nepal,70,12822
"countryName:United Arab Emirates",,"Abu Dhabi",,,DUS,"Duesseldorf International",Duesseldorf,,Germany,25,12464
