Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
countryName:Thailand,,Bangkok,,,SIN,Changi,Singapore,,Singapore,386,81251
countryName:Thailand,,Bangkok,,,HKG,"Hong Kong Intl","Hong Kong",,"Hong Kong",247,66072
countryName:Thailand,,Bangkok,,,KUL,"Kuala Lumpur International Airport","Kuala Lumpur",,Malaysia,307,58299
countryName:Thailand,,Bangkok,,,PVG,"Pudong International",Shanghai,,China,216,42822
countryName:Thailand,,Bangkok,,,ICN,"Incheon International Airport",Seoul,,"South Korea",140,42400
countryName:Thailand,,Bangkok,,,DXB,"Dubai International",Dubai,,"United Arab Emirates",87,34802
countryName:Thailand,,Bangkok,,,TPE,"Taiwan Taoyuan International Airport",Taipei,,Taiwan,100,33899
countryName:Thailand,,Bangkok,,,RGN,"Yangon International",Yangon,,Myanmar,152,28906
countryName:Thailand,,Bangkok,,,CAN,"Baiyun International",Guangzhou,,China,151,28591
countryName:Thailand,,Bangkok,,,PEK,"Capital International",Beijing,,China,117,26164
countryName:Thailand,,Bangkok,,,SGN,"Tan Son Nhat International Airport","Ho Chi Minh City",,Vietnam,105,22488
countryName:Thailand,,Bangkok,,,NRT,Narita,Tokyo-Narita,,Japan,71,22423
countryName:Thailand,,Bangkok,,,HAN,"Noi Bai International",Hanoi,,Vietnam,82,21376
countryName:Thailand,,Bangkok,,,DOH,"Hamad International Airport",Doha,,Qatar,59,20432
countryName:Thailand,,Bangkok,,,KMG,"Changshui International",Kunming,,China,79,15228
countryName:Thailand,,Bangkok,,,CGK,"Soekarno-Hatta Intl",Jakarta,,Indonesia,65,14572
countryName:Thailand,,Bangkok,,,DEL,"Indira Gandhi Intl",Delhi,,India,61,14363
countryName:Thailand,,Bangkok,,,HND,"Tokyo Intl (Haneda)",Tokyo-Haneda,,Japan,41,14176
countryName:Thailand,,Bangkok,,,MNL,"Ninoy Aquino Intl",Manila,,Philippines,42,13468
countryName:Thailand,,Bangkok,,,CSX,"Huanghua International Airport",Changsha,,China,61,13223
countryName:Thailand,,Bangkok,,,BOM,"Mumbai (Chhatrapati Shivaji) International",Mumbai/Bombay,,India,54,13150
countryName:Thailand,,Bangkok,,,CTU,"Shuangliu International",Chengdu,,China,63,13131
countryName:Thailand,,Bangkok,,,MFM,"Macau International",Macau,,Macau,68,12703
countryName:Thailand,,Bangkok,,,SYD,"Kingsford Smith",Sydney,NS,Australia,25,12352
countryName:Thailand,,Bangkok,,,KIX,"Kansai International",Osaka-Kansai,,Japan,35,11992
countryName:Thailand,,Bangkok,,,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",25,11880
countryName:Thailand,,Bangkok,,,HGH,"Xiaoshan International",Hangzhou,,China,60,11102
